Time,Open,High,Low,Last,Change,%Chg,Volume
05/02/2023,23.6169,23.6184,23.5378,23.6017,-0.015,-0.06%,22675
05/01/2023,23.4984,23.6732,23.4944,23.6167,0.091,+0.39%,19132
04/28/2023,23.4759,23.5346,23.4699,23.5257,0.0497,+0.21%,24502
04/27/2023,23.5178,23.525,23.4585,23.476,-0.0419,-0.18%,22635
04/26/2023,23.5206,23.5395,23.4558,23.5179,-0.0029,-0.01%,24571
04/25/2023,23.4739,23.5221,23.4492,23.5208,0.0472,+0.20%,22208
04/24/2023,23.5225,23.5225,23.4075,23.4736,-0.0202,-0.09%,21683
04/21/2023,23.4782,23.5687,23.4677,23.4938,0.0176,+0.07%,21695
04/20/2023,23.4271,23.5771,23.4177,23.4762,0.0494,+0.21%,22650
04/19/2023,23.4326,23.4825,23.3813,23.4268,-0.0059,-0.03%,22942
04/18/2023,23.4079,23.4471,23.3044,23.4327,0.0249,+0.11%,21164
04/17/2023,23.3095,23.4126,23.298,23.4078,0.0828,+0.35%,21641
04/14/2023,23.2374,23.3854,23.2374,23.325,0.0879,+0.38%,22966
04/13/2023,23.3331,23.369,23.23,23.2371,-0.0971,-0.42%,21306
04/12/2023,23.4719,23.5102,23.3222,23.3342,-0.1375,-0.59%,21572
04/11/2023,23.3428,23.522,23.3266,23.4717,0.1289,+0.55%,21216
04/10/2023,23.5245,23.5245,23.3056,23.3428,-0.0807,-0.34%,16715
04/07/2023,23.3983,23.429,23.3384,23.4235,0.0242,+0.10%,10916
04/06/2023,23.4257,23.4473,23.3661,23.3993,-0.0262,-0.11%,21064
04/05/2023,23.4779,23.4945,23.3914,23.4255,-0.0526,-0.22%,22670
04/04/2023,23.4379,23.5007,23.4137,23.4781,0.0402,+0.17%,22910
04/03/2023,23.47,23.496,23.4185,23.4379,-0.0318,-0.14%,22096
03/31/2023,23.521,23.5836,23.4523,23.4697,-0.0506,-0.22%,22359
03/30/2023,23.5653,23.5826,23.5012,23.5203,-0.045,-0.19%,22024
03/29/2023,23.6288,23.6822,23.5379,23.5653,-0.063,-0.27%,21745
03/28/2023,23.7941,23.81,23.6013,23.6283,-0.1676,-0.70%,22413
03/27/2023,23.6635,23.8021,23.6431,23.7959,0.1214,+0.51%,22474
03/24/2023,23.6281,23.7902,23.5901,23.6745,0.0454,+0.19%,24733
03/23/2023,23.7124,23.7141,23.593,23.6291,-0.0841,-0.35%,21965
03/22/2023,23.7826,23.8341,23.6796,23.7132,-0.0685,-0.29%,19897
03/21/2023,23.9933,24.0053,23.779,23.7817,-0.2115,-0.88%,21769
03/20/2023,24.0005,24.0815,23.9593,23.9932,0.0014,+0.01%,24571
03/17/2023,23.9788,24.0231,23.8455,23.9918,0.0116,+0.05%,23872
03/16/2023,24.0587,24.0916,23.9403,23.9802,-0.0781,-0.32%,26460
03/15/2023,23.7784,24.0876,23.7687,24.0583,0.2806,+1.18%,27595
03/14/2023,23.7506,23.8398,23.7269,23.7777,0.0264,+0.11%,26415
03/13/2023,23.6445,23.7882,23.5992,23.7513,0.106,+0.45%,28405
03/10/2023,23.6583,23.717,23.5934,23.6453,-0.0185,-0.08%,27404
03/09/2023,23.6104,23.6759,23.5697,23.6638,0.0512,+0.22%,22992
03/08/2023,23.5664,23.7102,23.5307,23.6126,0.0435,+0.18%,24041
03/07/2023,23.5537,23.5984,23.4693,23.5691,0.0151,+0.06%,24832
03/06/2023,23.4531,23.5656,23.4531,23.554,0.0683,+0.29%,23057
03/03/2023,23.4469,23.5231,23.3736,23.4857,0.037,+0.16%,23542
03/02/2023,23.3489,23.5001,23.3489,23.4487,0.1,+0.43%,25272
03/01/2023,23.4977,23.5296,23.3451,23.3487,-0.1491,-0.63%,26339
02/28/2023,23.6339,23.6511,23.4622,23.4978,-0.1371,-0.58%,21503
02/27/2023,23.657,23.659,23.6003,23.6349,-0.0082,-0.03%,23417
02/24/2023,23.6585,23.6714,23.6183,23.6431,-0.0153,-0.06%,24846
02/23/2023,23.6911,23.7182,23.6531,23.6584,-0.0326,-0.14%,24225
02/22/2023,23.7299,23.7299,23.64,23.691,-0.039,-0.16%,24409
02/21/2023,23.7186,23.77,23.7167,23.73,0.0118,+0.05%,24563
02/20/2023,23.7074,23.7311,23.6879,23.7182,0.021,+0.09%,18467
02/17/2023,23.6604,23.7394,23.6604,23.6972,0.0367,+0.16%,23599
02/16/2023,23.6384,23.6941,23.6309,23.6605,0.0222,+0.09%,23939
02/15/2023,23.7153,23.7376,23.6153,23.6383,-0.0782,-0.33%,24734
02/14/2023,23.7689,23.7812,23.6762,23.7165,-0.052,-0.22%,26222
02/13/2023,23.715,23.787,23.7139,23.7685,0.0347,+0.15%,22217
02/10/2023,23.6969,23.7611,23.6661,23.7338,0.0379,+0.16%,25813
02/09/2023,23.764,23.7778,23.6701,23.6959,-0.0672,-0.28%,24050
02/08/2023,23.7833,23.8043,23.7459,23.7631,-0.019,-0.08%,24293
02/07/2023,23.8585,23.8737,23.7637,23.7821,-0.0765,-0.32%,25545
02/06/2023,23.7827,23.874,23.7692,23.8586,0.0883,+0.37%,23461
02/03/2023,23.7369,23.7734,23.7234,23.7703,0.0332,+0.14%,24429
02/02/2023,23.7791,23.8115,23.7354,23.7371,-0.0418,-0.18%,25139
02/01/2023,23.7747,23.8,23.7561,23.7789,0.0057,+0.02%,20906
01/31/2023,23.8459,23.8519,23.7703,23.7732,-0.0724,-0.30%,23660
01/30/2023,23.7901,23.8752,23.7901,23.8456,0.0337,+0.14%,21855
01/27/2023,23.811,23.8279,23.7738,23.8119,0.0009,0.00%,21615
01/26/2023,23.7679,23.8287,23.7612,23.811,0.0426,+0.18%,23360
01/25/2023,23.8669,23.8775,23.7576,23.7684,-0.0981,-0.41%,22548
01/24/2023,23.8646,23.885,23.8541,23.8665,0.0018,+0.01%,22925
01/23/2023,23.8985,23.9087,23.8531,23.8647,-0.0335,-0.14%,23002
01/20/2023,23.9227,23.9586,23.8982,23.8982,-0.0241,-0.10%,22774
01/19/2023,23.9644,23.9677,23.8987,23.9223,-0.0418,-0.17%,25495
01/18/2023,23.9389,23.9919,23.928,23.9641,0.026,+0.11%,27424
01/17/2023,24.0207,24.0215,23.9342,23.9381,-0.0838,-0.35%,26135
01/16/2023,23.9843,24.0272,23.9729,24.0219,0.0203,+0.08%,19531
01/13/2023,24.0379,24.0465,23.9572,24.0016,-0.0362,-0.15%,25609
01/12/2023,24.0315,24.0569,24.0193,24.0378,0.0065,+0.03%,25526
01/11/2023,23.9756,24.0467,23.9756,24.0313,0.0558,+0.23%,23587
01/10/2023,23.9964,24.0217,23.9526,23.9755,-0.0209,-0.09%,24541
01/09/2023,24.0232,24.0253,23.93,23.9964,0.0285,+0.12%,24504
01/06/2023,24.0579,24.084,23.9557,23.9679,-0.0899,-0.37%,24813
01/05/2023,23.9829,24.0802,23.9769,24.0578,0.0748,+0.31%,25761
01/04/2023,24.0681,24.0968,23.9574,23.983,-0.0853,-0.35%,26717
01/03/2023,24.1652,24.1729,24.0468,24.0683,-0.0968,-0.40%,27246
01/02/2023,24.1528,24.1816,24.1386,24.1651,0.0092,+0.04%,11528
12/30/2022,24.1951,24.1958,24.1059,24.1559,-0.0402,-0.17%,22980
12/29/2022,24.2151,24.226,24.1432,24.1961,-0.0192,-0.08%,21813
12/28/2022,24.2537,24.2573,24.207,24.2153,-0.0382,-0.16%,22886
12/27/2022,24.2084,24.2809,24.1873,24.2535,0.0449,+0.19%,21231
12/26/2022,24.203,24.2229,24.1991,24.2086,0.0073,+0.03%,1095
12/23/2022,24.2146,24.2513,24.1829,24.2013,-0.0147,-0.06%,23598
12/22/2022,24.1819,24.2441,24.1754,24.216,0.0346,+0.14%,24419
12/21/2022,24.1892,24.2307,24.1604,24.1814,-0.0075,-0.03%,25115
12/20/2022,24.2484,24.2537,24.1651,24.1889,-0.0587,-0.24%,27260
12/19/2022,24.2273,24.2477,24.2151,24.2476,0.0208,+0.09%,23871
12/16/2022,24.2505,24.2677,24.2246,24.2268,-0.023,-0.09%,25729
12/15/2022,24.2718,24.2885,24.2498,24.2498,-0.0226,-0.09%,27415
12/14/2022,24.3019,24.306,24.2519,24.2724,-0.0296,-0.12%,25628
12/13/2022,24.3162,24.3246,24.2756,24.302,-0.0148,-0.06%,26793
12/12/2022,24.3379,24.3379,24.2881,24.3168,0.0179,+0.07%,23534
12/09/2022,24.2739,24.3097,24.2575,24.2989,0.0227,+0.09%,24998
12/08/2022,24.2613,24.326,24.2348,24.2762,0.0128,+0.05%,23353
12/07/2022,24.2917,24.3201,24.2467,24.2634,-0.0304,-0.13%,25836
12/06/2022,24.2765,24.3339,24.2539,24.2938,0.0142,+0.06%,24996
12/05/2022,24.3655,24.3724,24.2727,24.2796,-0.0561,-0.23%,25243
12/02/2022,24.362,24.3755,24.3259,24.3357,-0.0302,-0.12%,26393
12/01/2022,24.3196,24.3782,24.2934,24.3659,0.0443,+0.18%,10572
11/30/2022,24.3196,24.3564,24.3074,24.3216,0,0.00%,17268
11/29/2022,24.3003,24.3447,24.2793,24.3216,0.0193,+0.08%,26584
11/28/2022,24.3506,24.3506,24.2934,24.3023,-0.0072,-0.03%,25271
11/25/2022,24.3767,24.3946,24.306,24.3095,-0.0717,-0.29%,23603
11/24/2022,24.3358,24.3911,24.3189,24.3812,0.0434,+0.18%,22096
11/23/2022,24.3257,24.3555,24.3061,24.3378,0.0091,+0.04%,24650
11/22/2022,24.2948,24.3533,24.2827,24.3287,0.032,+0.13%,23572
11/21/2022,24.3329,24.3571,24.2842,24.2967,-0.0291,-0.12%,24402
11/18/2022,24.3708,24.3836,24.3213,24.3258,-0.0468,-0.19%,25381
11/17/2022,24.29,24.3947,24.2883,24.3726,0.0814,+0.34%,28033
11/16/2022,24.307,24.3666,24.273,24.2912,-0.0159,-0.07%,51899
11/15/2022,24.2543,24.3462,24.2401,24.3071,0.0523,+0.22%,30919
11/14/2022,24.2775,24.299,24.2133,24.2548,0.0267,+0.11%,50547
